epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.071,1.28218,3.11041,1.41431,0.65209,0.42844,0.46132,0.33145,1.35239,3.41651,1.54514,0.000300651,0.000300651,0.000300651
2,306.608,1.30135,2.28299,1.38587,0.56249,0.57155,0.55979,0.38546,1.35666,2.98284,1.53586,0.000602014,0.000602014,0.000602014
3,455.943,1.24859,1.99424,1.37792,0.51983,0.61597,0.57806,0.39658,1.41828,2.59768,1.58974,0.000896844,0.000896844,0.000896844
4,604.688,1.23953,1.82873,1.34859,0.64115,0.61171,0.59905,0.42004,1.33325,2.46097,1.61021,0.000886978,0.000886978,0.000886978
5,754.279,1.2126,1.6787,1.33782,0.59476,0.62936,0.62877,0.43233,1.3916,2.36137,1.59078,0.000870099,0.000870099,0.000870099
6,904.884,1.16756,1.53082,1.30453,0.70271,0.57177,0.66617,0.47654,1.35633,2.0684,1.58373,0.000848717,0.000848717,0.000848717
7,1054.51,1.14997,1.47008,1.30939,0.6897,0.65726,0.66946,0.47263,1.37492,1.89959,1.61053,0.000823066,0.000823066,0.000823066
8,1207.83,1.15148,1.37723,1.26291,0.66753,0.64338,0.66277,0.4658,1.30865,1.88518,1.49152,0.000793427,0.000793427,0.000793427
9,1356.35,1.08356,1.27845,1.25151,0.7902,0.65803,0.7142,0.49842,1.32522,1.72735,1.58262,0.000760124,0.000760124,0.000760124
10,1504.91,1.06528,1.18604,1.21553,0.7846,0.66523,0.71935,0.50877,1.35185,1.67097,1.54686,0.000723522,0.000723522,0.000723522
11,1653.3,1.07579,1.15581,1.22889,0.7565,0.69841,0.73598,0.51728,1.28777,1.51969,1.48061,0.000684023,0.000684023,0.000684023
12,1811.45,1.01734,1.08782,1.19372,0.68542,0.71977,0.70255,0.50411,1.3259,1.62481,1.51705,0.000642058,0.000642058,0.000642058
13,1999.23,1.02826,1.07438,1.19343,0.81912,0.65682,0.71505,0.52353,1.32381,1.5632,1.51473,0.000598089,0.000598089,0.000598089
14,2172.91,0.99045,0.99752,1.177,0.80437,0.69011,0.72504,0.54265,1.25893,1.49954,1.51848,0.000552596,0.000552596,0.000552596
15,2306.16,0.97475,0.97613,1.17107,0.75127,0.70595,0.72875,0.53768,1.29323,1.43653,1.51355,0.000506078,0.000506078,0.000506078
16,2438.51,0.97448,0.93674,1.16537,0.75435,0.7198,0.72978,0.54506,1.2626,1.42745,1.45604,0.000459045,0.000459045,0.000459045
17,2571.12,0.90604,0.89296,1.12849,0.74748,0.70556,0.71517,0.52963,1.28784,1.47741,1.47553,0.000412012,0.000412012,0.000412012
18,2711.1,0.90576,0.87584,1.14115,0.79971,0.67456,0.75041,0.55654,1.2442,1.36072,1.47886,0.000365494,0.000365494,0.000365494
19,2869.18,0.92423,0.86199,1.13803,0.7872,0.70596,0.73387,0.55176,1.23931,1.35654,1.44743,0.000320001,0.000320001,0.000320001
20,3024.54,0.89076,0.82716,1.13078,0.79617,0.7215,0.73717,0.54927,1.26453,1.33345,1.49501,0.000276032,0.000276032,0.000276032
21,3159.65,0.82188,0.76365,1.11603,0.80101,0.73767,0.7454,0.56198,1.23975,1.30977,1.45365,0.000234068,0.000234068,0.000234068
22,3289,0.82509,0.74116,1.09351,0.84335,0.69568,0.75061,0.55653,1.24271,1.28155,1.44741,0.000194568,0.000194568,0.000194568
23,3422.23,0.80764,0.70426,1.09244,0.80439,0.70923,0.74984,0.55908,1.2505,1.28022,1.45043,0.000157966,0.000157966,0.000157966
24,3553.88,0.77441,0.67424,1.08242,0.77948,0.73867,0.75099,0.56278,1.2343,1.25136,1.46366,0.000124663,0.000124663,0.000124663
25,3684.21,0.75201,0.66601,1.08172,0.80755,0.73188,0.7498,0.56565,1.23246,1.25065,1.45749,9.50238e-05,9.50238e-05,9.50238e-05
26,3814.21,0.74146,0.64667,1.06671,0.81164,0.74309,0.75509,0.57352,1.21328,1.23156,1.4258,6.93725e-05,6.93725e-05,6.93725e-05
27,3944.26,0.72759,0.63456,1.05619,0.82967,0.72767,0.7539,0.56999,1.21145,1.2123,1.43229,4.79907e-05,4.79907e-05,4.79907e-05
28,4073.66,0.73578,0.63342,1.05118,0.82155,0.72361,0.74991,0.56739,1.2121,1.23749,1.44298,3.11124e-05,3.11124e-05,3.11124e-05
29,4203.69,0.73043,0.62282,1.06449,0.84534,0.70914,0.75228,0.56809,1.21049,1.23678,1.43672,1.89226e-05,1.89226e-05,1.89226e-05
30,4334.15,0.72882,0.62816,1.06148,0.83978,0.72089,0.75323,0.56838,1.21305,1.22947,1.43952,1.15549e-05,1.15549e-05,1.15549e-05
