epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0812,0.77692,2.42651,1.24,0.96437,0.1393,0.41499,0.33434,0.68217,2.90015,1.22029,0.00044231,0.00044231,0.00044231
2,119.487,0.79228,1.57042,1.22669,0.8255,0.37152,0.39092,0.28984,0.90429,2.41048,1.50439,0.000888328,0.000888328,0.000888328
3,171.583,0.83187,1.51616,1.25926,0.84444,0.1875,0.25531,0.14363,1.2027,3.36753,1.76095,0.00130291,0.00130291,0.00130291
4,223.842,0.81444,1.60949,1.26115,0.84189,0.19583,0.23031,0.13809,1.18212,3.08943,1.77172,0.00128753,0.00128753,0.00128753
5,276.663,0.81058,1.47955,1.23838,0.41941,0.19679,0.09547,0.04009,1.54945,3.56168,2.06092,0.00124037,0.00124037,0.00124037
6,338.686,0.80094,1.41574,1.19322,0.41698,0.28558,0.20302,0.11195,1.62822,5.32591,2.25996,0.00119322,0.00119322,0.00119322
7,400.066,0.71996,1.20222,1.18332,0.65269,0.40705,0.40189,0.27075,1.09212,2.84431,1.71831,0.00114606,0.00114606,0.00114606
8,459.05,0.80487,1.21475,1.19675,0.76645,0.36407,0.44629,0.27783,1.10302,2.49998,1.63254,0.0010989,0.0010989,0.0010989
9,512.507,0.77936,1.18425,1.20608,0.75293,0.46346,0.49838,0.34861,1.05811,1.9911,1.5045,0.00105174,0.00105174,0.00105174
10,566.747,0.77656,1.16747,1.18451,0.73191,0.455,0.47597,0.33426,0.97664,2.24527,1.42486,0.00100459,0.00100459,0.00100459
11,629.406,0.7934,1.0748,1.16179,0.80276,0.44569,0.48398,0.36058,0.86383,1.73646,1.31848,0.00095743,0.00095743,0.00095743
12,690.242,0.76159,1.01032,1.18095,0.76194,0.47823,0.46441,0.35594,0.79775,1.70532,1.2755,0.000910273,0.000910273,0.000910273
13,761.853,0.71143,0.93222,1.1373,0.79758,0.4428,0.47666,0.31827,0.95964,1.92004,1.45791,0.000863116,0.000863116,0.000863116
14,844.739,0.66352,1.01259,1.12777,0.86983,0.4856,0.49859,0.36118,0.85161,1.64699,1.33874,0.000815959,0.000815959,0.000815959
15,928.038,0.78197,0.98575,1.26045,0.80612,0.45833,0.47107,0.343,0.90959,1.76869,1.40107,0.000768802,0.000768802,0.000768802
16,1577.85,0.69084,0.95987,1.13529,0.8403,0.51197,0.53501,0.40601,0.84179,1.56578,1.33556,0.000721645,0.000721645,0.000721645
17,1653.89,0.6355,0.87827,1.09339,0.83071,0.55126,0.54539,0.42742,0.77443,1.52303,1.25732,0.000674488,0.000674488,0.000674488
18,1721.45,0.64812,0.8424,1.09708,0.85812,0.50128,0.55508,0.42101,0.78322,1.45831,1.25981,0.000627331,0.000627331,0.000627331
19,1786.53,0.66242,0.86533,1.12007,0.83628,0.50547,0.54211,0.43064,0.7343,1.34641,1.19785,0.000580174,0.000580174,0.000580174
20,1852.5,0.61192,0.81468,1.0706,0.90361,0.47083,0.53348,0.41439,0.75649,1.33435,1.20594,0.000533017,0.000533017,0.000533017
21,1918.56,0.55169,1.16303,1.07828,0.83819,0.45108,0.50171,0.38564,0.85029,1.65417,1.31176,0.00048586,0.00048586,0.00048586
22,1984.97,0.55974,1.05419,1.08331,0.92729,0.44829,0.53914,0.43241,0.74831,1.45703,1.21159,0.000438703,0.000438703,0.000438703
23,2051.18,0.51047,0.94575,1.04717,0.80376,0.498,0.52863,0.42232,0.68806,1.33573,1.1409,0.000391546,0.000391546,0.000391546
24,2118.5,0.54094,0.98577,1.12719,0.87198,0.48879,0.53356,0.43077,0.69684,1.31131,1.14816,0.000344389,0.000344389,0.000344389
25,2184.56,0.52299,1.00108,1.05994,0.9297,0.48782,0.54538,0.43554,0.69107,1.27218,1.16677,0.000297232,0.000297232,0.000297232
26,2251.89,0.469,0.82127,1.00105,0.93238,0.49113,0.55718,0.43406,0.68176,1.21566,1.16576,0.000250075,0.000250075,0.000250075
27,2303.06,0.45432,0.78632,0.9779,0.90952,0.50897,0.56009,0.44763,0.67734,1.14599,1.15983,0.000202918,0.000202918,0.000202918
28,2343.52,0.47679,0.80308,1.02679,0.90023,0.49199,0.5574,0.44538,0.67897,1.14792,1.16169,0.000155761,0.000155761,0.000155761
29,2383.89,0.42417,0.7582,0.9785,0.91631,0.48782,0.5535,0.44288,0.66895,1.16392,1.15173,0.000108604,0.000108604,0.000108604
30,2423.96,0.42303,0.75148,0.97862,0.92438,0.48782,0.55539,0.44669,0.67737,1.17111,1.1536,6.1447e-05,6.1447e-05,6.1447e-05
