epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9107,1.21202,4.05246,1.30612,0.00506,0.6662,0.07598,0.03872,1.02205,4.13199,1.25615,0.000277778,0.000277778,0.000277778
2,79.0708,1.17447,3.72738,1.2729,0.00453,0.69397,0.09567,0.04563,1.20808,4.25251,1.44914,0.000590944,0.000590944,0.000590944
3,117.804,1.26186,3.39608,1.3187,0.0042,0.72301,0.10172,0.0532,1.3395,4.24854,1.48347,0.000882111,0.000882111,0.000882111
4,154.692,1.2867,3.38817,1.38633,0.00386,0.69801,0.08744,0.05373,1.53297,4.22358,1.58737,0.000901,0.000901,0.000901
5,191.949,1.26672,3.25985,1.35445,0.00381,0.68217,0.06524,0.03839,1.75696,4.27041,1.74866,0.000868,0.000868,0.000868
6,229.947,1.26306,3.16368,1.34483,0.07943,0.07688,0.05371,0.03375,1.71804,4.43127,1.81003,0.000835,0.000835,0.000835
7,836.954,1.19528,3.05415,1.35094,0.69323,0.01042,0.0486,0.02222,1.90487,4.46875,1.93719,0.000802,0.000802,0.000802
8,872.879,1.19696,2.99248,1.32552,0.62709,0.06472,0.08517,0.04734,1.82943,4.21833,1.93233,0.000769,0.000769,0.000769
9,908.634,1.28307,3.0674,1.35002,0.30401,0.1017,0.0974,0.0509,1.63213,4.09876,1.83892,0.000736,0.000736,0.000736
10,940.351,1.24266,2.93738,1.34045,0.07254,0.13401,0.08825,0.05176,1.54619,4.21575,1.6715,0.000703,0.000703,0.000703
11,970.993,1.25689,2.98567,1.34104,0.07518,0.11886,0.08328,0.04723,1.44162,4.05334,1.5684,0.00067,0.00067,0.00067
12,1001.01,1.26201,2.82978,1.304,0.07661,0.13401,0.08752,0.05394,1.49731,3.94949,1.62597,0.000637,0.000637,0.000637
13,1031.66,1.21066,2.95027,1.28618,0.07639,0.13749,0.09906,0.05515,1.54019,3.88968,1.62871,0.000604,0.000604,0.000604
14,1061.51,1.23884,2.78309,1.29923,0.33676,0.19471,0.11279,0.06261,1.4662,3.65336,1.56986,0.000571,0.000571,0.000571
15,1091.71,1.14414,2.74592,1.26224,0.27932,0.26947,0.12195,0.06261,1.45147,3.51993,1.50272,0.000538,0.000538,0.000538
16,1121.66,1.11053,2.83567,1.29059,0.31073,0.18299,0.1304,0.07512,1.37698,3.49696,1.44956,0.000505,0.000505,0.000505
17,1152.37,1.15928,2.65595,1.24328,0.32177,0.17504,0.12797,0.08037,1.39624,3.50295,1.46786,0.000472,0.000472,0.000472
18,1183.06,1.08778,2.66777,1.2483,0.27991,0.15586,0.14026,0.0873,1.43436,3.50599,1.49346,0.000439,0.000439,0.000439
19,1214.45,1.06158,2.57023,1.16688,0.12398,0.17217,0.136,0.08933,1.47657,3.44608,1.4971,0.000406,0.000406,0.000406
20,1246.3,1.13142,2.57017,1.21172,0.11401,0.22915,0.14277,0.10204,1.45181,3.36079,1.47744,0.000373,0.000373,0.000373
21,1276.19,1.01327,3.1818,1.20092,0.13216,0.2693,0.1338,0.09634,1.38493,3.28431,1.42757,0.00034,0.00034,0.00034
22,1306.68,1.00477,2.99155,1.22778,0.1267,0.29214,0.14029,0.10622,1.34677,3.34729,1.43009,0.000307,0.000307,0.000307
23,1336.8,0.98815,3.00742,1.19317,0.13777,0.3073,0.1398,0.1014,1.32642,3.43161,1.4214,0.000274,0.000274,0.000274
24,1367.08,0.92767,2.93806,1.11511,0.13919,0.3073,0.14112,0.10014,1.32275,3.4368,1.44206,0.000241,0.000241,0.000241
25,1397.05,0.90527,2.84828,1.07509,0.14464,0.20812,0.14988,0.0978,1.32211,3.41481,1.45411,0.000208,0.000208,0.000208
26,1427.8,0.91662,2.81157,1.13683,0.28348,0.16992,0.16333,0.1097,1.29025,3.33068,1.42756,0.000175,0.000175,0.000175
27,1458.91,0.93223,2.746,1.15775,0.28309,0.17446,0.166,0.1107,1.27408,3.30522,1.41739,0.000142,0.000142,0.000142
28,1489.32,0.87966,2.76793,1.10086,0.27214,0.1569,0.17228,0.12079,1.2168,3.29221,1.37564,0.000109,0.000109,0.000109
29,1520.5,0.84274,2.72145,1.08155,0.27579,0.1795,0.1696,0.1216,1.21115,3.27963,1.37445,7.6e-05,7.6e-05,7.6e-05
30,1551.51,0.77619,2.6653,1.02104,0.27803,0.1848,0.1717,0.12493,1.19511,3.27547,1.355,4.3e-05,4.3e-05,4.3e-05
